action,kind,tx_date,amount,currency,category_or_source,description,matched_date,matched_description
skip,expense,2026-08-11,7.40,EUR,Food & Dining,MELVINS CAFE BA,2026-08-11,Desayuno
insert,expense,2026-08-14,82.85,EUR,Other,Bizum to RAFAEL EDUARDO DELGADO ROCCA - Gastos Ligonde,,
insert,expense,2026-08-13,1.00,EUR,Food & Dining,PLK 16082 ALAME,,
insert,expense,2026-08-13,5.00,EUR,Food & Dining,CAFETERIA FRAMI,,
insert,expense,2026-08-13,5.00,EUR,Food & Dining,CAFETERIA FRAMIL S.L,,
insert,expense,2026-08-13,5.29,EUR,Food & Dining,Too Good To Go,,
insert,expense,2026-08-13,5.15,EUR,Food & Dining,BUENO CAFE,,
insert,expense,2026-08-13,5.70,EUR,Food & Dining,CAFE BAR FRAMIL,,
insert,expense,2026-08-13,2.31,EUR,Food & Dining,WORKCAFE MALAGA,,
insert,expense,2026-08-13,55.67,EUR,Utilities,TELEFONICA MOVILES SA,,
insert,expense,2026-08-12,300.00,EUR,Housing,Transfer to Hafsa Laghzaoui - Arriendo,,
insert,expense,2026-08-12,17.89,EUR,Subscriptions,OPENAI *CHATGPT SUBSCR,,
insert,expense,2026-08-12,9.39,EUR,Subscriptions,ANTHROPIC,,
insert,expense,2026-08-12,4.99,EUR,Subscriptions,Amazon Prime*pm8rb3ji5,,
insert,expense,2026-08-12,7.90,EUR,Food & Dining,RESTAURANTE LA,,
insert,expense,2026-08-11,2.75,EUR,Groceries,DIA 7739,,
insert,expense,2026-08-11,4.75,EUR,Food & Dining,KING TORRES RINCON,,
insert,expense,2026-08-11,5.15,EUR,Food & Dining,BUENO CAFE,,
insert,expense,2026-08-11,6.50,EUR,Food & Dining,POLLOS SAN JUAN,,
insert,expense,2026-08-11,10.00,EUR,Cash,ATM cash withdrawal,,
insert,income,2026-08-14,68.00,EUR,Transfer from Bridge Building S.A. - Payout - Enviado desde ARQ,Transfer from Bridge Building S.A. - Payout - Enviado desde ARQ,,
